Price,Age_08_04,KM,Fuel_Type,HP,Automatic,cc,Doors,Cylinders,Gears,Weight
13500,23,46986,Diesel,90,0,2000,3,4,5,1165
13750,23,72937,Diesel,90,0,2000,3,4,5,1165
13950,24,41711,Diesel,90,0,2000,3,4,5,1165
14950,26,48000,Diesel,90,0,2000,3,4,5,1165
13750,30,38500,Diesel,90,0,2000,3,4,5,1170
12950,32,61000,Diesel,90,0,2000,3,4,5,1170
16900,27,94612,Diesel,90,0,2000,3,4,5,1245
18600,30,75889,Diesel,90,0,2000,3,4,5,1245
21500,27,19700,Petrol,192,0,1800,3,4,5,1185
12950,23,71138,Diesel,69,0,1900,3,4,5,1105
20950,25,31461,Petrol,192,0,1800,3,4,6,1185
19950,22,43610,Petrol,192,0,1800,3,4,6,1185
19600,25,32189,Petrol,192,0,1800,3,4,6,1185
21500,31,23000,Petrol,192,0,1800,3,4,6,1185
22500,32,34131,Petrol,192,0,1800,3,4,6,1185
22000,28,18739,Petrol,192,0,1800,3,4,6,1185
22750,30,34000,Petrol,192,0,1800,3,4,5,1185
17950,24,21716,Petrol,110,0,1600,3,4,5,1105
16750,24,25563,Petrol,110,0,1600,3,4,5,1065
16950,30,64359,Petrol,110,0,1600,3,4,5,1105
