Price,Age_08_04,KM,Fuel_Type,HP,Automatic,cc,Doors,Cylinders,Gears,Weight
8950,79,40093,Petrol,110,0,1600,5,4,5,1114
8750,79,39800,Petrol,107,1,1600,3,4,5,1080
7750,73,39168,Petrol,86,0,1300,3,4,5,1015
8450,75,38945,Petrol,110,0,1600,3,4,5,1050
8150,76,36537,Petrol,110,1,1600,4,4,5,1075
8500,78,36000,Petrol,86,1,1300,3,4,5,1045
7600,78,36000,Petrol,110,0,1600,3,4,5,1050
7950,80,35821,Petrol,86,1,1300,3,4,5,1015
7750,73,34717,Petrol,86,0,1300,3,4,5,1015
7950,80,34000,Petrol,86,0,1300,4,4,5,1000
9950,78,30964,Petrol,110,1,1600,3,4,4,1080
8950,71,29000,Petrol,86,1,1300,3,4,5,1045
8450,72,26000,Petrol,86,0,1300,3,4,5,1015
8950,78,24000,Petrol,86,1,1300,5,4,5,1065
8450,80,23000,Petrol,86,0,1300,3,4,5,1015
7500,69,20544,Petrol,86,0,1300,3,4,5,1025
10845,72,19000,Petrol,86,0,1300,3,4,5,1015
8500,71,17016,Petrol,86,0,1300,3,4,5,1015
7250,70,16916,Petrol,86,0,1300,3,4,5,1015
6950,76,1,Petrol,110,0,1600,5,4,5,1114
